num_nodes,topology,protocol,convergencetime
100,2d,gossip,977
100,2d,pushsum,53032
100,full,gossip,377
100,full,pushsum,2751
100,imperfect3d,gossip,407
100,imperfect3d,pushsum,6383
100,line,gossip,3377
100,line,pushsum,502763
1000,2d,gossip,2307
1000,2d,pushsum,236414
1000,full,gossip,778
1000,full,pushsum,3737
1000,imperfect3d,gossip,797
1000,imperfect3d,pushsum,10601
1000,line,gossip,48127
1000,line,pushsum,672331
10000,2d,gossip,12292
10000,full,gossip,9667
10000,imperfect3d,gossip,19195
10000,line,gossip,580199
15000,2d,gossip,50757
15000,full,gossip,26043
15000,imperfect3d,gossip,50536
15000,line,gossip,608669
25,2d,gossip,354
25,2d,pushsum,11425
25,full,gossip,264
25,full,pushsum,2305
25,imperfect3d,gossip,413
25,imperfect3d,pushsum,3688
25,line,gossip,955
25,line,pushsum,49197
50,2d,gossip,622
50,2d,pushsum,24536
50,full,gossip,322
50,full,pushsum,2633
50,imperfect3d,gossip,382
50,imperfect3d,pushsum,5638
50,line,gossip,2631
50,line,pushsum,152307
500,2d,gossip,1366
500,2d,pushsum,273930
500,full,gossip,507
500,full,pushsum,3071
500,imperfect3d,gossip,586
500,imperfect3d,pushsum,9413
500,line,gossip,28467
500,line,pushsum,613883
5000,2d,gossip,5619
5000,2d,pushsum,440964
5000,full,gossip,3623
5000,full,pushsum,2685295
5000,imperfect3d,gossip,3712
5000,imperfect3d,pushsum,19149
5000,line,gossip,273177
5000,line,pushsum,1356530
8000,2d,gossip,12165
8000,full,gossip,7544
8000,imperfect3d,gossip,9790
8000,line,gossip,301315
